 Total Nb of available Diagnostics: ndiagt=   207
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
     1 |SDIAG1  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #1
     2 |SDIAG2  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #2
     3 |SDIAG3  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #3
     4 |SDIAG4  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #4
     5 |SDIAG5  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #5
     6 |SDIAG6  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #6
     7 |SDIAG7  |  1 |       |SU      L1|user-defined    |User-Defined U.pt Surface Diagnostic #7
     8 |SDIAG8  |  1 |       |SV      L1|user-defined    |User-Defined V.pt Surface Diagnostic #8
     9 |SDIAG9  |  1 |    10 |UU      L1|user-defined    |User-Defined U.vector Surface Diag.  #9
    10 |SDIAG10 |  1 |     9 |VV      L1|user-defined    |User-Defined V.vector Surface Diag. #10
    11 |UDIAG1  |350 |       |SM      MR|user-defined    |User-Defined Model-Level Diagnostic  #1
    12 |UDIAG2  |350 |       |SM      MR|user-defined    |User-Defined Model-Level Diagnostic  #2
    13 |UDIAG3  |350 |       |SMR     MR|user-defined    |User-Defined Model-Level Diagnostic  #3
    14 |UDIAG4  |350 |       |SMR     MR|user-defined    |User-Defined Model-Level Diagnostic  #4
    15 |UDIAG5  |350 |       |SU      MR|user-defined    |User-Defined U.pt Model-Level Diag.  #5
    16 |UDIAG6  |350 |       |SV      MR|user-defined    |User-Defined V.pt Model-Level Diag.  #6
    17 |UDIAG7  |350 |    18 |UUR     MR|user-defined    |User-Defined U.vector Model-Lev Diag.#7
    18 |UDIAG8  |350 |    17 |VVR     MR|user-defined    |User-Defined V.vector Model-Lev Diag.#8
    19 |UDIAG9  |350 |       |SM      ML|user-defined    |User-Defined Phys-Level  Diagnostic  #9
    20 |UDIAG10 |350 |       |SM      ML|user-defined    |User-Defined Phys-Level  Diagnostic #10
    21 |SDIAGC  |  1 |    22 |SM  C   L1|user-defined    |User-Defined Counted Surface Diagnostic
    22 |SDIAGCC |  1 |       |SM      L1|count           |User-Defined Surface Diagnostic Counter
    23 |ETAN    |  1 |       |SM      M1|m               |Surface Height Anomaly
    24 |ETANSQ  |  1 |       |SM P    M1|m^2             |Square of Surface Height Anomaly
    25 |DETADT2 |  1 |       |SM      M1|m^2/s^2         |Square of Surface Height Anomaly Tendency
    26 |THETA   |350 |       |SMR     MR|degC            |Potential Temperature
    27 |SALT    |350 |       |SMR     MR|psu             |Salinity
    28 |RELHUM  |350 |       |SMR     MR|percent         |Relative Humidity
    29 |SALTanom|350 |       |SMR     MR|psu             |Salt anomaly (=SALT-35; g/kg)
    30 |UVEL    |350 |    31 |UUR     MR|m/s             |Zonal Component of Velocity (m/s)
    31 |VVEL    |350 |    30 |VVR     MR|m/s             |Meridional Component of Velocity (m/s)
    32 |WVEL    |350 |       |WM      LR|m/s             |Vertical Component of Velocity (r_units/s)
    33 |THETASQ |350 |       |SMRP    MR|degC^2          |Square of Potential Temperature
    34 |SALTSQ  |350 |       |SMRP    MR|(psu)^2         |Square of Salinity
    35 |SALTSQan|350 |       |SMRP    MR|(psu)^2         |Square of Salt anomaly (=(SALT-35)^2 (g^2/kg^2)
    36 |UVELSQ  |350 |    37 |UURP    MR|m^2/s^2         |Square of Zonal Comp of Velocity (m^2/s^2)
    37 |VVELSQ  |350 |    36 |VVRP    MR|m^2/s^2         |Square of Meridional Comp of Velocity (m^2/s^2)
    38 |WVELSQ  |350 |       |WM P    LR|m^2/s^2         |Square of Vertical Comp of Velocity
    39 |UE_VEL_C|350 |    40 |UMR     MR|m/s             |Eastward Velocity (m/s) (cell center)
    40 |VN_VEL_C|350 |    39 |VMR     MR|m/s             |Northward Velocity (m/s) (cell center)
    41 |UV_VEL_C|350 |    41 |UMR     MR|m^2/s^2         |Product of horizontal Comp of velocity (cell center)
    42 |UV_VEL_Z|350 |    42 |UZR     MR|m^2/s^2         |Meridional Transport of Zonal Momentum (m^2/s^2)
    43 |WU_VEL  |350 |       |WU      LR|m.m/s^2         |Vertical Transport of Zonal Momentum
    44 |WV_VEL  |350 |       |WV      LR|m.m/s^2         |Vertical Transport of Meridional Momentum
    45 |UVELMASS|350 |    46 |UUr     MR|m/s             |Zonal Mass-Weighted Comp of Velocity (m/s)
    46 |VVELMASS|350 |    45 |VVr     MR|m/s             |Meridional Mass-Weighted Comp of Velocity (m/s)
    47 |WVELMASS|350 |       |WM      LR|m/s             |Vertical Mass-Weighted Comp of Velocity
    48 |PhiVEL  |350 |    45 |SMR P   MR|m^2/s           |Horizontal Velocity Potential (m^2/s)
    49 |PsiVEL  |350 |    48 |SZ  P   MR|m.m^2/s         |Horizontal Velocity Stream-Function
    50 |UTHMASS |350 |    51 |UUr     MR|degC.m/s        |Zonal Mass-Weight Transp of Pot Temp
    51 |VTHMASS |350 |    50 |VVr     MR|degC.m/s        |Meridional Mass-Weight Transp of Pot Temp
    52 |WTHMASS |350 |       |WM      LR|degC.m/s        |Vertical Mass-Weight Transp of Pot Temp (K.m/s)
    53 |USLTMASS|350 |    54 |UUr     MR|psu.m/s         |Zonal Mass-Weight Transp of Salinity
    54 |VSLTMASS|350 |    53 |VVr     MR|psu.m/s         |Meridional Mass-Weight Transp of Salinity
    55 |WSLTMASS|350 |       |WM      LR|psu.m/s         |Vertical Mass-Weight Transp of Salinity
    56 |UVELTH  |350 |    57 |UUR     MR|degC.m/s        |Zonal Transport of Pot Temp
    57 |VVELTH  |350 |    56 |VVR     MR|degC.m/s        |Meridional Transport of Pot Temp
    58 |WVELTH  |350 |       |WM      LR|degC.m/s        |Vertical Transport of Pot Temp
    59 |UVELSLT |350 |    60 |UUR     MR|psu.m/s         |Zonal Transport of Salinity
    60 |VVELSLT |350 |    59 |VVR     MR|psu.m/s         |Meridional Transport of Salinity
    61 |WVELSLT |350 |       |WM      LR|psu.m/s         |Vertical Transport of Salinity
    62 |UVELPHI |350 |    63 |UUr     MR|m^3/s^3         |Zonal Mass-Weight Transp of Pressure Pot.(p/rho) Anomaly
    63 |VVELPHI |350 |    62 |VVr     MR|m^3/s^3         |Merid. Mass-Weight Transp of Pressure Pot.(p/rho) Anomaly
    64 |RHOAnoma|350 |       |SMR     MR|kg/m^3          |Density Anomaly (=Rho-rhoConst)
    65 |RHOANOSQ|350 |       |SMRP    MR|kg^2/m^6        |Square of Density Anomaly (=(Rho-rhoConst)^2)
    66 |URHOMASS|350 |    67 |UUr     MR|kg/m^2/s        |Zonal Transport of Density
    67 |VRHOMASS|350 |    66 |VVr     MR|kg/m^2/s        |Meridional Transport of Density
    68 |WRHOMASS|350 |       |WM      LR|kg/m^2/s        |Vertical Transport of Density
    69 |WdRHO_P |350 |       |WM      LR|kg/m^2/s        |Vertical velocity times delta^k(Rho)_at-const-P
    70 |WdRHOdP |350 |       |WM      LR|kg/m^2/s        |Vertical velocity times delta^k(Rho)_at-const-T,S
    71 |PHIHYD  |350 |       |SMR     MR|m^2/s^2         |Hydrostatic Pressure Pot.(p/rho) Anomaly
    72 |PHIHYDSQ|350 |       |SMRP    MR|m^4/s^4         |Square of Hyd. Pressure Pot.(p/rho) Anomaly
    73 |dKEdiss |350 |       |SMR     MR|m^2/s^3         |Kinetic Energy dissipation due to dissipation
    74 |PHIBOT  |  1 |       |SM      M1|m^2/s^2         |Bottom Pressure Pot.(p/rho) Anomaly
    75 |PHIBOTSQ|  1 |       |SM P    M1|m^4/s^4         |Square of Bottom Pressure Pot.(p/rho) Anomaly
    76 |PHI_SURF|  1 |       |SM      M1|m^2/s^2         |Surface Dynamical Pressure Pot.(p/rho)
    77 |PHIHYDcR|350 |       |SMR     MR|m^2/s^2         |Hydrostatic Pressure Pot.(p/rho) Anomaly @ const r
    78 |PHI_NH  |350 |       |SMR     MR|m^2/s^2         |Non-Hydrostatic Pressure Pot.(p/rho)
    79 |MXLDEPTH|  1 |       |SM      M1|m               |Mixed-Layer Depth (>0)
    80 |DRHODR  |350 |       |SM      LR|kg/m^4          |Stratification: d.Sigma/dr (kg/m3/r_unit)
    81 |CONVADJ |350 |       |SMR     LR|fraction        |Convective Adjustment Index [0-1]
    82 |oceTAUX |  1 |    83 |UU      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
    83 |oceTAUY |  1 |    82 |VV      U1|N/m^2           |meridional surf. wind stress, >0 increases vVel
    84 |atmPload|  1 |       |SM      U1|Pa              |Atmospheric pressure loading
    85 |sIceLoad|  1 |       |SM      U1|kg/m^2          |sea-ice loading (in Mass of ice+snow / area unit)
    86 |oceFWflx|  1 |       |SM      U1|kg/m^2/s        |net surface Fresh-Water flux into the ocean (+=down), >0 decreases salinity
    87 |oceSflux|  1 |       |SM      U1|g/m^2/s         |net surface Salt flux into the ocean (+=down), >0 increases salinity
    88 |oceQnet |  1 |       |SM      U1|W/m^2           |net surface heat flux into the ocean (+=down), >0 increases theta
    89 |oceQsw  |  1 |       |SM      U1|W/m^2           |net Short-Wave radiation (+=down), >0 increases theta
    90 |oceFreez|  1 |       |SM      U1|W/m^2           |heating from freezing of sea-water (allowFreezing=T)
    91 |TRELAX  |  1 |       |SM      U1|W/m^2           |surface temperature relaxation, >0 increases theta
    92 |SRELAX  |  1 |       |SM      U1|g/m^2/s         |surface salinity relaxation, >0 increases salt
    93 |surForcT|  1 |       |SM      U1|W/m^2           |model surface forcing for Temperature, >0 increases theta
    94 |surForcS|  1 |       |SM      U1|g/m^2/s         |model surface forcing for Salinity, >0 increases salinity
    95 |TFLUX   |  1 |       |SM      U1|W/m^2           |total heat flux (match heat-content variations), >0 increases theta
    96 |SFLUX   |  1 |       |SM      U1|g/m^2/s         |total salt flux (match salt-content variations), >0 increases salt
    97 |RCENTER |350 |       |SM      MR|m               |Cell-Center Height
    98 |RSURF   |  1 |       |SM      M1|m               |Surface Height
    99 |TOTUTEND|350 |   100 |UUR     MR|m/s/day         |Tendency of Zonal Component of Velocity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |TOTVTEND|350 |    99 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
   101 |TOTTTEND|350 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
   102 |TOTSTEND|350 |       |SMR     MR|psu/day         |Tendency of Salinity
   103 |MoistCor|350 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   104 |gT_Forc |350 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   105 |gS_Forc |350 |       |SMR     MR|psu/s           |Salinity forcing tendency
   106 |AB_gT   |350 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   107 |AB_gS   |350 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   108 |gTinAB  |350 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   109 |gSinAB  |350 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   110 |AB_gU   |350 |   111 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   111 |AB_gV   |350 |   110 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   112 |AB_gW   |350 |       |WM      LR|m/s^2           |W momentum tendency from Adams-Bashforth
   113 |ADVr_TH |350 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   114 |ADVx_TH |350 |   115 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   115 |ADVy_TH |350 |   114 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   116 |DFrE_TH |350 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   117 |DFxE_TH |350 |   118 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   118 |DFyE_TH |350 |   117 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   119 |DFrI_TH |350 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   120 |ADVr_SLT|350 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   121 |ADVx_SLT|350 |   122 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   122 |ADVy_SLT|350 |   121 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   123 |DFrE_SLT|350 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   124 |DFxE_SLT|350 |   125 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   125 |DFyE_SLT|350 |   124 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   126 |DFrI_SLT|350 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   127 |SALTFILL|350 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   128 |VISCAHZ |350 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   129 |VISCA4Z |350 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   130 |VISCAHD |350 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   131 |VISCA4D |350 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   132 |VISCAHW |350 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   133 |VISCA4W |350 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   134 |VAHZMAX |350 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   135 |VA4ZMAX |350 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   136 |VAHDMAX |350 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   137 |VA4DMAX |350 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
